date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:10	4109/4109	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/non-responsive/non-responsive.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/non-responsive/non-responsive.css	(from http://getbootstrap.com/examples/non-responsive/)
10:20:10	140/140	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/offcanvas/offcanvas.js	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/offcanvas/offcanvas.js	(from http://getbootstrap.com/examples/offcanvas/)
10:20:15	8777/8777	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/glyphicons-halflings-white.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/glyphicons-halflings-white.png	(from http://getbootstrap.com/2.3.2/assets/css/bootstrap.css)
10:20:15	12799/12799	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/glyphicons-halflings.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/glyphicons-halflings.png	(from http://getbootstrap.com/2.3.2/assets/css/bootstrap.css)
10:20:15	6450/6450	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/bs-docs-masthead-pattern.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/bs-docs-masthead-pattern.png	(from http://getbootstrap.com/2.3.2/assets/css/docs.css)
10:20:16	3333/3333	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/examples/starter-template.html	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/examples/starter-template.html	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:18	5825/5825	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/examples/hero.html	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/examples/hero.html	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:18	36099/36099	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-starter.png	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/img/examples/bootstrap-example-starter.png	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:20	7697/7697	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/examples/fluid.html	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/examples/fluid.html	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:22	4712/4712	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/examples/marketing-narrow.html	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/examples/marketing-narrow.html	(from http://getbootstrap.com/2.3.2/getting-started.html)
10:20:24	6130/6130	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/examples/justified-nav.html	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/examples/justified-nav.html	(from http://getbootstrap.com/2.3.2/getting-started.html)
